1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,,,,,,,,,,,,,,,$L:800,1
1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,1,1,,,,,,,,,,,,,@,0
1,,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1
1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,1,1,,1,1,,,,,,,,,,,1
1,,1,1,,1,1,,0,1,1,1,1,1,1,0,,1
1,,1,1,,1,1,,0,1,1,1,1,1,1,1,,1
1,,1,1,,1,1,,,,,,,,1,1,,1
1,,1,1,,1,1,1,1,1,1,1,0,,1,1,,1
1,,1,1,,0,1,1,1,1,1,1,0,,1,1,,1
1,,1,1,,,,,,,,,,,1,1,,1
1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
1,,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,1
1,,,,,,,,,,,,,,,,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
