1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,,,|:0:--:+-,|:1:--:+-,|:2:--:+-,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,,,2,|:2:+-:++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,,1,1,2,,,|:0:--:+-,|:1:--:+-,|:2:+-:--,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,,,2,|:1:+-:++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,,1,1,2,,,|:0:--:+-,|:1:+-:--,|:2:--:+-,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,2,,,2,|:2:+-:++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,1,1,1,2,,,|:0:--:+-,|:1:+-:--,|:2:+-:--,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,$R:100,,2,|:0:+-:++,1,1,1,1,1,1,1,1,1,a,@,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,1,1,1,2,,,|:0:+-:--,|:1:--:+-,|:2:--:+-,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,2,,,2,|:2:+-:++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,,1,1,2,,,|:0:+-:--,|:1:--:+-,|:2:+-:--,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,,,2,|:1:+-:++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,,1,1,2,,,|:0:+-:--,|:1:+-:--,|:2:--:+-,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,,,2,|:2:+-:++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,,,|:0:+-:--,|:1:+-:--,|:2:+-:--,,A,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
