0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,$R:1000,,,0,,,,|:0:--:++,,,,|:0:--:++,,,,0
0,,0,|:0:--:++,0,,0,0,0,|:0:++:--,0,,0,0,0,,0
0,,|:0:++:--,,,,|:0:--:++,,|:0:++:--,,|:0:--:++,,|:0:++:--,,,,0
0,0,0,|:0:++:--,0,0,0,,0,|:0:--:++,0,0,0,|:0:++:--,0,,0
0,,,,|:0:--:++,,,,0,,,,0,,|:0:--:++,,0
0,|:0:--:++,0,|:0:++:--,0,|:0:--:++,0,|:0:++:--,0,,0,0,0,|:0:--:++,0,,0
0,,|:0:++:--,,,,|:0:++:--,,|:0:--:++,,|:0:++:--,,,,|:0:++:--,,0
0,0,0,0,0,|:0:++:--,0,|:0:--:++,0,|:0:++:--,0,|:0:++:--,0,|:0:--:++,0,0,0
0,,|:0:--:++,,|:0:++:--,,|:0:--:++,,|:0:--:++,,|:0:--:++,,0,,|:0:--:++,,0
0,,0,|:0:++:--,0,0,0,,0,,0,,0,,0,|:0:++:--,0
0,,|:0:++:--,,|:0:--:++,,,,|:0:++:--,,0,,|:0:++:--,,,,0
0,,0,0,0,|:0:--:++,0,|:0:++:--,0,|:0:++:--,0,|:0:--:++,0,|:0:++:--,0,,0
0,,|:0:--:++,,|:0:++:--,,|:0:++:--,,0,,,,0,,|:0:--:++,,0
0,,0,0,0,|:0:++:--,0,,0,|:0:--:++,0,0,0,|:0:--:++,0,0,0
0,,,,|:0:--:++,,|:0:--:++,,,,|:0:++:--,,,,,@,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
