1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,@,1,1,1,1,@,1,1,1,1,1,1,@,1,1,1,1,1,1,1,1,@,1,1,1,1,1,1
1,$R:250,,2,,,2,,2,,2,,,,,2,,,,,,,2,,2,,2,,,A,1
1,1,1,1,1,1,@,1,1,1,@,1,1,1,1,1,1,1,1,1,1,1,@,1,1,1,@,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,@,1,1,1,1,1,1,1,@,1,1,1,1,@,1,1,1,1,@,1,1,1,1,1,1,1,1
1,a,,,2,,,,,2,,,2,,2,,,2,,,2,,2,,,,2,,2,2,1
1,1,1,1,1,1,1,1,1,@,1,1,1,1,@,1,1,1,1,1,@,1,1,1,1,1,@,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
