0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,$R:300,,,,,,,,,,,,,,,,0
1,1,@,1,,1,,1,,1,,1,,1,,1,,1
1,1,1,1,,1,,1,,1,,1,,1,,1,,1
1,1,1,1,@,1,,1,,1,,1,,1,,1,,1
1,1,1,1,1,1,,1,,1,,1,,1,,1,,1
1,1,1,1,1,1,@,1,,1,,1,,1,,1,,1
1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1
1,1,1,1,1,1,1,1,@,1,,1,,1,,1,,1
1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1
1,1,1,1,1,1,1,1,1,1,@,1,,1,,1,,1
1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1
1,1,1,1,1,1,1,1,1,1,1,1,@,1,,1,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,@,1,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,@,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
