0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,+:0,,|:3:--:++,|:4:--:++,|:5:--:++,B,0
0,0,0,0,0,0,0,0,0,]:0,0,0,0,0,0,0,0
0,0,0,0,0,0,,,,,|:2:+-:++,0,0,0,0,0,0
0,0,0,0,0,0,,0,0,]:1,0,A,0,0,0,0,0
0,0,0,0,0,0,,0,0,,+:1,,|:3:--:++,|:4:--:++,|:5:++:--,B,0
0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,|:1:+-:++,0,0,0,0,0,0,0,0,0
0,0,0,,0,0,,0,0,0,0,A,0,0,0,0,0
0,0,0,,0,0,,0,0,,+:2,,|:3:--:++,|:4:++:--,|:5:--:++,B,0
0,0,0,,0,0,,0,0,]:2,0,0,0,0,0,0,0
0,0,0,,0,0,,,,,|:2:+-:++,0,0,0,0,0,0
0,0,0,,0,0,0,0,0,]:3,0,A,0,0,0,0,0
0,0,0,,0,0,0,0,0,,+:3,,|:3:--:++,|:4:++:--,|:5:++:--,B,0
0,0,0,,0,0,a,[:8,0,0,0,0,0,0,0,0,0
0,$R:500,,,|:0:+-:++,0,*:-3,0,0,0,0,0,0,b,@,B,0
0,0,0,,0,0,^:8,0,0,0,0,A,0,0,0,0,0
0,0,0,,0,0,0,0,0,,+:4,,|:3:++:--,|:4:--:++,|:5:--:++,B,0
0,0,0,,0,0,0,0,0,]:4,0,0,0,0,0,0,0
0,0,0,,0,0,,,,,|:2:+-:++,0,0,0,0,0,0
0,0,0,,0,0,,0,0,]:5,0,A,0,0,0,0,0
0,0,0,,0,0,,0,0,,+:5,,|:3:++:--,|:4:--:++,|:5:++:--,B,0
0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,0,0,,,,,|:1:+-:++,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,,0,0,0,0,A,0,0,0,0,0
0,0,0,0,0,0,,0,0,,+:6,,|:3:++:--,|:4:++:--,|:5:--:++,B,0
0,0,0,0,0,0,,0,0,]:6,0,0,0,0,0,0,0
0,0,0,0,0,0,,,,,|:2:+-:++,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,]:7,0,A,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,+:7,,|:3:++:--,|:4:++:--,|:5:++:--,B,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
